gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,weight,symbol,entrez,shrunkLFC,class
ENSG00000140807,1138.268044,-0.874646641,0.186676505,-4.685360074,2.79468E-06,0.000999409,0.409614407,NKD1,85407,-0.754481745,Down*
ENSG00000141314,253.4693779,-0.898820478,0.247088116,-3.637651597,0.000275135,0.011431816,2.154407114,RHBDL3,162494,-0.57582856,Down*
ENSG00000141551,2709.076118,0.169733908,0.047373065,3.582920124,0.000339775,0.027648573,0.910654292,CSNK1D,1453,0.131421705,Up*
ENSG00000142856,226.9171175,-0.383909484,0.126711761,-3.029785719,0.002447273,0.062246775,2.154407114,ITGB3BP,23421,-0.193917728,Down*
ENSG00000143333,346.8143396,-1.089638529,0.256870657,-4.241973531,2.21563E-05,0.002585233,1.063691227,RGS16,6004,-0.866721569,Down*
ENSG00000143401,1931.052945,-0.411821708,0.100806847,-4.085255316,4.40284E-05,0.008774268,0.498961552,ANP32E,81611,-0.348697895,Down*
ENSG00000143554,231.7686576,0.463848737,0.138889599,3.33969382,0.000838708,0.030091452,2.017914586,SLC27A3,11000,0.291913772,Up*
ENSG00000144647,356.5404645,0.355892466,0.102911677,3.45823211,0.000543733,0.034902608,1.063691227,POMGNT2,84892,0.245686279,Up*
ENSG00000144791,442.2960957,-0.607274616,0.172942564,-3.511423682,0.000445713,0.040030108,0.728656052,LIMD1,8994,-0.407116753,Down*
ENSG00000145335,826.0469721,0.507170149,0.156917817,3.232074982,0.001228948,0.063007222,1.063691227,SNCA,6622,0.288496698,Up*
ENSG00000145386,520.3341376,-0.682751663,0.21590445,-3.162286196,0.001565356,0.07812606,1.003606999,CCNA2,890,-0.324758236,Down*
ENSG00000145439,937.4549277,-0.372781419,0.104014736,-3.583928912,0.000338464,0.05040828,0.409614407,CBR4,84869,-0.272540014,Down*
ENSG00000145526,225.1156302,0.627580322,0.210193899,2.985720922,0.002829107,0.068036827,2.187691391,CDH18,1016,0.254067994,Up*
ENSG00000145569,88.45029847,0.577446693,0.192396793,3.001332211,0.002688011,0.066006477,2.187691391,OTULINL,54491,0.248434111,Up*
ENSG00000147003,42.32646247,0.736523345,0.202584241,3.635639875,0.000277291,0.01187724,2.078494794,CLTRN,57393,0.504094917,Up*
ENSG00000147036,465.8376015,1.406670642,0.293939154,4.785584445,1.7049E-06,0.000312414,1.003606999,LANCL3,347404,1.240845563,Up*
ENSG00000147041,106.6193205,1.40821447,0.319668254,4.405237153,1.05668E-05,0.000758129,2.154407114,SYTL5,94122,1.178378731,Up*
ENSG00000147044,3652.878715,0.336597007,0.094300841,3.569395588,0.000357806,0.028945568,0.910654292,CASK,8573,0.244794865,Up*
ENSG00000147202,296.7774223,0.622483417,0.178551278,3.486300531,0.00048975,0.042230116,0.728656052,DIAPH2,1730,0.407968642,Up*
ENSG00000147231,2899.643782,0.978786446,0.189304943,5.170422037,2.33566E-07,5.48854E-05,0.910654292,RADX,55086,0.865762557,Up*
