Gene symbol,Entrez ID,Correlation with Braak r,P-value of correlation with Braak r (BH-corrected),Fold-change between R1 and R6,P-value of fold-change between R1 and R6 (BH-corrected)
NNMT,4837,0.68,1.09E-04,2.34,1.60E-04
SPRED2,200734,0.68,9.58E-04,1.39,2.26E-03
GLCE,26035,0.68,6.55E-04,1.35,2.71E-03
FAM162B,221303,0.68,4.50E-04,1.57,2.25E-03
H2BFXP,767811,0.68,1.75E-03,1.58,2.51E-03
LRRC68,284352,0.68,1.78E-03,1.53,2.26E-03
NEUROD1,4760,0.68,3.84E-04,2.85,4.33E-04
DACT1,51339,0.68,3.05E-04,1.76,4.68E-04
EMID2,136227,0.68,1.20E-03,1.46,2.18E-03
B9D1,27077,0.68,6.68E-04,1.39,2.70E-03
GYPB,2994,0.68,1.16E-03,1.64,1.58E-03
SH3GLB2,56904,0.68,5.13E-03,1.34,2.96E-03
SHROOM2,357,0.68,2.82E-04,1.51,6.13E-04
CAMK1G,57172,0.68,1.98E-04,1.75,1.01E-03
FAM110C,642273,0.68,1.32E-03,1.86,1.18E-03
ANKRD19P,138649,0.68,5.55E-04,1.98,6.04E-04
ANKRD62,342850,0.68,9.38E-04,2.07,1.84E-03
SORCS3,22986,0.68,1.28E-04,1.76,4.79E-04
WASF1,8936,0.69,1.20E-03,1.61,2.47E-03
POSTN,10631,0.69,1.27E-03,2.16,9.87E-04
ADAM11,4185,0.69,5.65E-04,1.61,2.70E-03
VIPR2,7434,0.69,1.29E-04,2.27,2.35E-03
GPRIN1,114787,0.69,7.09E-04,1.47,1.81E-03
C12orf70,341346,0.69,6.87E-04,1.33,1.85E-03
ST8SIA3,51046,0.69,1.05E-03,1.52,1.57E-03
ZSCAN12,9753,0.69,2.08E-04,1.34,8.25E-04
TRIML2,205860,0.69,1.09E-04,1.50,1.13E-03
TNNC2,7125,0.69,1.43E-03,1.67,2.04E-03
ZNF238,10472,0.69,2.57E-03,1.71,3.04E-03
C22orf29,79680,0.69,2.61E-03,1.43,2.40E-03
C1QL2,165257,0.69,8.09E-04,1.94,6.90E-04
CUX2,23316,0.69,8.06E-04,2.05,1.14E-03
YJEFN3,374887,0.69,1.19E-03,1.82,2.79E-03
NPTX1,4884,0.69,3.43E-04,3.42,4.60E-04
MYBPHL,343263,0.69,1.56E-04,1.95,2.70E-03
LOC100131342,100131342,0.69,1.52E-03,1.74,1.65E-03
SH3GL2,6456,0.70,4.50E-04,1.40,2.28E-03
LARGE,9215,0.70,7.73E-04,1.34,9.87E-04
DLK2,65989,0.70,1.43E-03,1.66,2.61E-03
